Height(Centimeter);Weight(Kilograms);Gender;BMI;Skin Color;Clothes Color;Pants Color
167.0896074;51.252494060000004;Female;Underweight;(226, 165, 137);(19, 165, 16);(24, 212, 123)
181.6486334;61.9095473816;Male;Ideal;(204, 150, 103);(55, 238, 252);(101, 131, 136)
176.2727996;69.41177762480001;Male;Ideal;(226, 165, 137);(58, 67, 207);(27, 41, 168)
173.270164;64.5621987568;Male;Ideal;(119, 78, 58);(29, 140, 46);(71, 123, 25)
172.18103739999998;65.4520101832;Male;Ideal;(226, 165, 137);(200, 235, 99);(122, 118, 117)
174.4925136;55.9289822208;Female;Underweight;(246, 215, 197);(8, 130, 235);(127, 162, 107)
177.29718160000002;64.1808639624;Male;Ideal;(226, 165, 137);(180, 50, 118);(122, 113, 78)
177.83738879999999;61.8982075816;Male;Ideal;(226, 165, 137);(12, 2, 101);(101, 89, 170)
172.47273099999998;50.971176301599996;Female;Underweight;(252, 218, 191);(215, 149, 212);(57, 35, 198)
169.6271944;54.733676582399994;Female;Ideal;(243, 214, 200);(218, 217, 32);(224, 237, 254)
168.8787326;57.811026147199996;Female;Ideal;(226, 165, 137);(43, 117, 6);(41, 56, 253)
171.7632582;51.774351656;Female;Underweight;(243, 214, 200);(32, 180, 82);(177, 83, 28)
173.4882992;56.976008634399996;Female;Ideal;(119, 78, 58);(127, 216, 133);(159, 122, 74)
170.47606240000002;55.5476927856;Female;Ideal;(246, 215, 197);(37, 95, 115);(118, 130, 174)
173.4303618;52.6559530672;Female;Underweight;(246, 215, 197);(184, 210, 47);(164, 177, 59)
180.572664;63.50174602;Male;Ideal;(226, 165, 137);(251, 238, 220);(104, 248, 215)
168.81094;58.741207261599996;Female;Ideal;(243, 214, 200);(217, 71, 135);(61, 172, 147)
174.3691458;64.8515450936;Male;Ideal;(246, 215, 197);(216, 164, 225);(168, 103, 19)
180.9250382;62.55147078;Male;Ideal;(204, 150, 103);(39, 19, 222);(59, 218, 139)
170.5131972;56.265774280799995;Female;Ideal;(243, 214, 200);(119, 137, 17);(87, 104, 75)
172.29782659999998;64.0837952744;Male;Ideal;(235, 185, 152);(209, 235, 144);(126, 155, 164)
174.9521774;65.1082328064;Male;Ideal;(204, 150, 103);(85, 125, 18);(132, 246, 173)
161.242121;44.40752316072;Female;Underweight;(226, 165, 137);(9, 244, 205);(167, 124, 129)
173.79154979999998;58.7413886984;Male;Ideal;(119, 78, 58);(124, 198, 182);(125, 136, 163)
171.7752216;64.3420705592;Male;Ideal;(235, 185, 152);(124, 196, 39);(32, 53, 149)
170.7099456;58.8419500448;Male;Ideal;(243, 214, 200);(172, 107, 73);(183, 170, 94)
179.939569;64.602160212;Male;Ideal;(235, 185, 152);(104, 160, 227);(119, 114, 69)
171.43562359999999;59.67011831839999;Male;Ideal;(119, 78, 58);(140, 62, 18);(113, 236, 164)
168.99638539999998;49.1387099808;Female;Underweight;(243, 214, 200);(161, 239, 5);(119, 29, 89)
166.2200892;51.6605907824;Female;Ideal;(226, 165, 137);(250, 40, 170);(39, 133, 179)
176.58918200000002;46.856779347199996;Female;Underweight;(119, 78, 58);(184, 158, 197);(150, 118, 68)
167.165528;54.7728669312;Female;Ideal;(252, 218, 191);(78, 27, 190);(111, 25, 11)
172.253402;57.0567026512;Female;Ideal;(253, 220, 213);(94, 125, 147);(10, 72, 71)
179.311427;61.78943622;Male;Ideal;(246, 215, 197);(182, 32, 143);(239, 47, 2)
182.3842936;63.548919588;Male;Ideal;(119, 78, 58);(97, 174, 241);(168, 2, 167)
175.7835702;58.39938033040001;Male;Ideal;(204, 150, 103);(234, 197, 22);(173, 105, 167)
169.6813472;64.3190734448;Male;Ideal;(243, 214, 200);(141, 74, 222);(79, 118, 25)
171.8536822;54.9898199848;Female;Ideal;(253, 220, 213);(22, 90, 251);(254, 161, 90)
172.2298054;59.5783112976;Male;Ideal;(243, 214, 200);(175, 185, 165);(15, 15, 112)
162.675189;48.403482708;Female;Underweight;(127, 41, 44);(170, 23, 73);(23, 20, 18)
174.1795602;56.4086104016;Female;Ideal;(235, 185, 152);(115, 235, 177);(9, 50, 157)
165.56626780000002;56.6350888872;Female;Ideal;(226, 165, 137);(82, 136, 117);(190, 115, 55)
176.9316756;63.3536935912;Male;Ideal;(253, 220, 213);(59, 112, 63);(56, 188, 103)
172.6369674;62.3097516032;Male;Ideal;(252, 218, 191);(157, 150, 25);(133, 28, 141)
167.5914352;48.2848230408;Female;Underweight;(204, 150, 103);(105, 157, 225);(199, 224, 95)
